Date,Open,High,Low,Close
10 02 2021,46420.42,46557.24,46052.52,46229.1
9 02 2021,46374.86,48142.19,44961.09,46420.42
8 02 2021,38795.69,46794.45,37988.89,46374.87
7 02 2021,39181.01,39700,37351,38795.69
6 02 2021,38289.32,40955.51,38215.94,39186.94
5 02 2021,36936.65,38310.12,36570,38290.24
4 02 2021,37620.26,38708.27,36161.95,36936.66
3 02 2021,35472.71,37662.63,35362.38,37618.87
2 02 2021,33517.09,35984.33,33418,35466.24
1 02 2021,33092.97,34717.27,32296.16,33526.37
31 01 2021,34262.89,34342.69,32171.67,33092.98
30 01 2021,34246.28,34933,32825,34262.88
29 01 2021,33368.18,38531.9,31915.4,34252.2
28 01 2021,30362.19,33783.98,29842.1,33364.86
27 01 2021,32464.01,32557.29,29241.72,30366.15
26 01 2021,32254.19,32921.88,30837.37,32467.77
25 01 2021,32259.45,34875,31910,32254.2
24 01 2021,32078,33071,30900,32259.9
23 01 2021,32950,33456,31390.16,32078
22 01 2021,30851.99,33826.53,28850,32945.17
21 01 2021,35468.23,35600,30071,30850.13
20 01 2021,35901.94,36415.31,33400,35468.23
19 01 2021,36622.46,37850,35844.06,35891.49
18 01 2021,35824.99,37469.83,34800,36631.27
17 01 2021,35994.98,36852.5,33850,35828.61
16 01 2021,36737.43,37950,35357.8,35994.98
15 01 2021,39145.21,39747.76,34408,36742.22
14 01 2021,37371.38,40100,36701.23,39144.5
13 01 2021,34049.15,37850,32380,37371.38
12 01 2021,35410.37,36628,32531,34051.24
11 01 2021,38150.02,38264.74,30420,35404.47
10 01 2021,40088.22,41350,35111.11,38150.02
9 01 2021,40586.96,41380,38720,40088.22
8 01 2021,39432.48,41950,36500,40582.81
7 01 2021,36769.36,40365,36300,39432.28
6 01 2021,33949.53,36939.21,33288,36769.36
5 01 2021,31989.75,34360,29900,33949.53
4 01 2021,33000.05,33600,28130,31988.71
3 01 2021,32176.45,34778.11,31962.99,33000.05
2 01 2021,29331.7,33300,28946.53,32178.33
1 01 2021,28923.63,29600,28624.57,29331.69
31 12 2020,28875.55,29300,27850,28923.63
30 12 2020,27385,28996,27320,28875.54
29 12 2020,27079.42,27410,25880,27385
28 12 2020,26281.54,27500,26101,27079.41
27 12 2020,26493.4,28422,25700,26281.66
26 12 2020,24712.47,26867.03,24500,26493.39
25 12 2020,23728.99,24789.86,23433.6,24712.47
24 12 2020,23232.39,23794.43,22703.42,23729.2
23 12 2020,23810.79,24100,22600,23232.76
22 12 2020,22719.88,23837.1,22353.4,23810.79
21 12 2020,23455.54,24102.77,21815,22719.71
20 12 2020,23821.6,24295,23060,23455.52
19 12 2020,23107.39,24171.47,22750,23821.61
18 12 2020,22797.15,23285.18,22350,23107.39
17 12 2020,21335.52,23800,21230,22797.16
16 12 2020,19426.43,21560,19278.6,21335.52
15 12 2020,19273.69,19570,19050,19426.43
14 12 2020,19174.99,19349,19000,19273.14
13 12 2020,18808.69,19411,18711.12,19174.99
12 12 2020,18036.53,18948.66,18020.7,18808.69
11 12 2020,18254.81,18292.73,17572.33,18036.53
10 12 2020,18541.29,18557.32,17911.12,18254.63
9 12 2020,18324.11,18639.57,17650,18541.28
8 12 2020,19166.9,19294.84,18200,18324.11
7 12 2020,19358.67,19420.91,18902.88,19166.9
6 12 2020,19147.66,19420,18857,19359.4
5 12 2020,18650.51,19177,18500,19147.66
4 12 2020,19422.34,19527,18565.31,18650.52
3 12 2020,19204.08,19598,18867.2,19421.9
2 12 2020,18764.96,19342,18330,19204.09
1 12 2020,19695.87,19888,18001.12,18764.96
