date,open,high,low,close
 19 10 2019,172.78,174.98,169.44,171.79
 18 10 2019,177.17,177.44,168.66,172.74
 17 10 2019,174.52,178.96,172.61,177.16
 16 10 2019,180.52,181.44,171.81,174.47
 15 10 2019,186.7,188.37,175.96,180.49
 14 10 2019,180.98,187.54,180.43,186.72
 13 10 2019,179.65,184.95,178.52,180.99
 12 10 2019,180.65,184.64,177.59,179.68
 11 10 2019,191.18,196.65,179.41,180.72
 10 10 2019,192.61,194.2,186.88,191.14
 09 10 2019,180.61,195.53,178.96,192.62
 08 10 2019,179.88,184.87,177,180.6
 07 10 2019,170.08,182.32,168.68,179.85
 06 10 2019,176.23,177.04,167.68,170.1
 05 10 2019,175.55,176.71,172.02,176.25
 04 10 2019,174.71,178.98,170.74,175.55
 03 10 2019,180.24,180.72,169.55,174.69
 02 10 2019,175.65,181.29,173.65,180.24
 01 10 2019,180.89,185.53,173.19,175.66
 30 09 2019,169.26,181.24,165.01,180.85
 29 09 2019,173.5,174.5,164.12,169.24
 28 09 2019,173.83,175.49,168,173.49
 27 09 2019,165.92,176.72,161.03,173.79
 26 09 2019,169.96,171.01,152.11,165.92
 25 09 2019,165.72,174.85,161.88,169.96
 24 09 2019,201.25,202.98,150.03,165.81
 23 09 2019,211.2,211.68,198.65,201.29
 22 09 2019,215.04,215.61,206.1,211.2
 21 09 2019,218.01,221.5,213.2,215.05
 20 09 2019,220.26,221.54,212.05,218.03
 19 09 2019,210.27,223.94,202.3,220.24
 18 09 2019,207.85,217.27,207.66,210.21
 17 09 2019,197.23,215.13,195.74,207.84
 16 09 2019,189.05,199.44,188.3,197.22
 15 09 2019,188.14,190.45,185.76,189.03
 14 09 2019,180.96,188.79,179.75,188.13
 13 09 2019,180.71,181.38,177.54,180.95
 12 09 2019,178.3,182.38,176.62,180.72
 11 09 2019,179.87,182.8,173,178.28
 10 09 2019,180.52,184.36,177,179.81
 09 09 2019,181.18,185.38,176.01,180.54
 08 09 2019,177.58,184.18,176.13,181.19
 07 09 2019,169.11,180.8,168.3,177.62
 06 09 2019,173.74,177.87,165,169.08
 05 09 2019,174.7,176.19,168.1,173.75
 04 09 2019,178.79,180.14,173,174.72
 03 09 2019,178,183,174.09,178.75
 02 09 2019,170.73,181,170.02,178.05
 01 09 2019,171.52,173.42,167.61,170.74
 31 08 2019,168.48,174.98,165.63,171.57
 30 08 2019,169.03,170.77,165.55,168.5
 29 08 2019,173.03,173.5,163.61,169.01
 28 08 2019,187.3,188.25,166.48,173.03
 27 08 2019,188.61,189.49,184.75,187.24
 26 08 2019,186.54,193.7,186,188.67
 25 08 2019,190.6,192.4,182.8,186.54
 24 08 2019,194.02,194.09,185.63,190.6
 23 08 2019,190.36,196.19,188.16,194.02
 22 08 2019,187.45,195.14,182.8,190.35
 21 08 2019,196.55,197.2,179.53,187.45
 20 08 2019,202.24,202.75,194.45,196.6
 19 08 2019,194.32,203.59,192.7,202.28
 18 08 2019,185.67,197.91,183.35,194.33
 17 08 2019,184.83,187,181.83,185.59
 16 08 2019,187.98,188.39,178.04,184.88
 15 08 2019,187.08,189.95,181.23,188.03
 14 08 2019,209.31,209.9,183.49,187.1
 13 08 2019,211.58,214.3,204,209.3
 12 08 2019,216.41,216.81,209.75,211.41
 11 08 2019,206.48,216.94,206.14,216.42
 10 08 2019,210.52,215,202.6,206.48
 09 08 2019,221.38,221.79,207.3,210.53
 08 08 2019,226.11,228.5,215.51,221.39
 07 08 2019,226.31,231.25,220.95,226.1
 06 08 2019,233.53,239.15,223.03,226.28
 05 08 2019,221.79,236.25,221.79,233.54
 04 08 2019,222.14,223.34,216.9,221.79
 03 08 2019,217.69,224.51,216.62,222.14
 02 08 2019,216.8,222.18,214.31,217.61
 01 08 2019,218.42,219.39,210.54,216.84
 31 07 2019,209.57,218.79,209.2,218.42
 30 07 2019,210.84,214.36,204.4,209.58
 29 07 2019,211.58,215.83,206.59,210.89
 28 07 2019,207.3,213.52,198.24,211.62
 27 07 2019,218.81,223.3,203,207.3
 26 07 2019,219.14,220,212.71,218.81
 25 07 2019,216.31,225.12,215.23,219.14
 24 07 2019,212.55,218.28,202,216.31
 23 07 2019,217.59,219.55,208.36,212.48
 22 07 2019,225.49,228.34,212.25,217.51
 21 07 2019,228.25,229.66,216.99,225.38
 20 07 2019,220.84,235.09,219.78,228.2
 19 07 2019,225.75,226.23,212.52,220.73
 18 07 2019,210.8,229.65,205.71,225.73
 17 07 2019,198.94,219.86,191.84,210.81
 16 07 2019,228.2,234.5,192.25,198.88
 15 07 2019,225.83,235.58,203.08,228.2
 14 07 2019,268.8,269.74,222.81,225.85
 13 07 2019,274.53,275.04,262.2,268.79
 12 07 2019,268.67,278.99,266.21,274.62
 11 07 2019,289.23,289.23,262.12,268.63
 10 07 2019,307.46,314.18,281.04,289.23
 09 07 2019,311.96,318.19,302.69,307.46
 08 07 2019,304.72,313.74,300.78,311.97
 07 07 2019,288.29,309.69,284.25,304.72
 06 07 2019,287.32,296.71,285.28,288.29
 05 07 2019,282.86,294.89,280.78,287.47
